avatarPopulation.service.bulletinboard.BulletinBoardRoot -> client.Replica.BulletinBoardRoot,
avatarPopulation.service.impl.lookingForGroupImpl.scheme.DefaultLFGStrategyResource -> client.Replica.DefaultLFGStrategyResource,
avatarPopulation.service.impl.lookingForGroupImpl.scheme.LFGDestination -> client.Replica.LFGDestination,
avatarPopulation.service.impl.lookingForGroupImpl.scheme.LFGRole -> client.Replica.LFGRole,
avatarPopulation.service.impl.lookingForGroupImpl.scheme.LFGRoot -> client.Replica.LFGRoot,
avatarPopulation.service.impl.lookingForGroupImpl.scheme.MixingLFGStrategyResource -> client.Replica.MixingLFGStrategyResource,
avatarPopulation.service.impl.matchMakingImpl.scheme.InstancedEventResource -> client.Replica.InstancedEventResource,
avatarPopulation.service.impl.matchMakingImpl.scheme.MWarMatchMakingRoot -> client.Replica.MWarMatchMakingRoot,
avatarPopulation.service.impl.matchMakingImpl.scheme.MatchMakingRoot -> client.Replica.MatchMakingRoot,
avatarPopulation.service.post.PostType -> client.Replica.PostType,
basement.contentkey.ContentKey -> client.Replica.ContentKey,
basement.namedresourceregistry.NamedResourceRegistry -> client.Localization.NamedResourceRegistry,
basement.server.config.TerritoriesRegistry -> client.Localization.TerritoriesRegistry,
basement.server.config.Territory -> client.Localization.Territory,
basement.server.lang.AvatarNameRules -> client.Localization.AvatarNameRules,
basement.server.lang.BasicNameRules -> client.Localization.BasicNameRules,
basement.server.lang.LocalizationRoot -> client.Replica.LocalizationRoot,
basement.server.lang.NameRules -> client.Localization.NameRules,
basement.server.lang.NameTransformation -> client.Localization.NameTransformation,
buildTools.questHelper.DebugQuestList -> client.GameState.DebugQuestList,
buildTools.zoo.DebugMobList -> client.GameState.DebugMobList,
bunch.BunchResource -> client.Replica.BunchResource,
bunch.GenericBunchResource -> client.Replica.GenericBunchResource,
clientCmds.spellCmd.core.SpellCmd -> client.Replica.SpellCmd,
constructor.basicInterfaces.ImpactProducer -> client.Replica.ImpactProducer,
constructor.elements.CalcerFloatResource -> client.Replica.CalcerFloatResource,
constructor.elements.CalcerLongResource -> client.Replica.CalcerLongResource,
